churn;accountlength;internationalplan;voicemailplan;numbervmailmessages;totaldayminutes;totaldaycalls;totaldaycharge;totaleveminutes;totalevecalls;totalevecharge;totalnightminutes;totalnightcalls;totalnightcharge;totalintlminutes;totalintlcalls;totalintlcharge;numbercustomerservicecalls
No;128;no;yes;25;2651;110;4507;1974;99;1678;2447;91;1101;100;3;27;1
No;107;no;yes;26;1616;123;2747;1955;103;1662;2544;103;1145;137;3;37;1
No;137;no;no;0;2434;114;4138;1212;110;103;1626;104;732;122;5;329;0
No;84;yes;no;0;2994;71;509;619;88;526;1969;89;886;66;7;178;2
No;75;yes;no;0;1667;113;2834;1483;122;1261;1869;121;841;101;3;273;3
No;118;yes;no;0;2234;98;3798;2206;101;1875;2039;118;918;63;6;17;0
No;121;no;yes;24;2182;88;3709;3485;108;2962;2126;118;957;75;7;203;3
No;147;yes;no;0;1570;79;2669;1031;94;876;2118;96;953;71;6;192;0
No;117;no;no;0;1845;97;3137;3516;80;2989;2158;90;971;87;4;235;1
No;141;yes;yes;37;2586;84;4396;2220;111;1887;3264;97;1469;112;5;302;0
Yes;65;no;no;0;1291;137;2195;2285;83;1942;2088;111;94;127;6;343;4
No;74;no;no;0;1877;127;3191;1634;148;1389;1960;94;882;91;5;246;0
No;168;no;no;0;1288;96;219;1049;71;892;1411;128;635;112;2;302;1
No;95;no;no;0;1566;88;2662;2476;75;2105;1923;115;865;123;5;332;3
No;62;no;no;0;1207;70;2052;3072;76;2611;2030;99;914;131;6;354;4
Yes;161;no;no;0;3329;67;5659;3178;97;2701;1606;128;723;54;9;146;4
No;85;no;yes;27;1964;139;3339;2809;90;2388;893;75;402;138;4;373;1
No;93;no;no;0;1907;114;3242;2182;111;1855;1296;121;583;81;3;219;3
No;76;no;yes;33;1897;66;3225;2128;65;1809;1657;108;746;100;5;27;1
No;73;no;no;0;2244;90;3815;1595;88;1356;1928;74;868;130;2;351;1
No;147;no;no;0;1551;117;2637;2397;93;2037;2088;133;94;106;4;286;0
Yes;77;no;no;0;624;89;1061;1699;121;1444;2096;64;943;57;6;154;5
No;130;no;no;0;1830;112;3111;729;99;62;1818;78;818;95;19;257;0
No;111;no;no;0;1104;103;1877;1373;102;1167;1896;105;853;77;6;208;2
No;132;no;no;0;811;86;1379;2452;72;2084;2370;115;1067;103;2;278;0
No;174;no;no;0;1243;76;2113;2771;112;2355;2507;115;1128;155;5;419;3
No;57;no;yes;39;2130;115;3621;1911;112;1624;1827;115;822;95;3;257;0
No;54;no;no;0;1343;73;2283;1555;100;1322;1021;68;459;147;4;397;3
No;20;no;no;0;1900;109;323;2582;84;2195;1815;102;817;63;6;17;0
No;49;no;no;0;1193;117;2028;2151;109;1828;1787;90;804;111;1;30;1
No;142;no;no;0;848;95;1442;1367;63;1162;2505;148;1127;142;6;383;2
No;75;no;no;0;2261;105;3844;2015;107;1713;2462;98;1108;103;5;278;1
No;172;no;no;0;2120;121;3604;312;115;265;2933;78;132;126;10;34;3
Yes;12;no;no;0;2496;118;4243;2524;119;2145;2802;90;1261;118;3;319;1
No;57;no;yes;25;1768;94;3006;1950;75;1658;2135;116;961;83;4;224;0
No;72;no;yes;37;2200;80;374;2173;102;1847;1528;71;688;147;6;397;3
No;36;no;yes;30;1463;128;2487;1625;80;1381;1293;109;582;145;6;392;0
No;78;no;no;0;1308;64;2224;2237;116;1901;2278;108;1025;100;5;27;1
No;136;yes;yes;33;2039;106;3466;1876;99;1595;1017;107;458;105;6;284;3
No;149;no;no;0;1404;94;2387;2718;92;231;1883;108;847;111;9;30;1
No;98;no;no;0;1263;102;2147;1668;85;1418;1878;135;845;94;2;254;3
Yes;135;yes;yes;41;1731;85;2943;2039;107;1733;1222;78;55;146;15;394;0
No;34;no;no;0;1248;82;2122;2822;98;2399;3115;78;1402;100;4;27;2
No;160;no;no;0;858;77;1459;1653;110;1405;1785;92;803;92;4;248;3
No;64;no;no;0;1540;67;2618;2258;118;1919;2653;86;1194;35;3;95;1
No;59;no;yes;28;1209;97;2055;2130;92;1811;1631;116;734;85;5;23;2
No;65;no;no;0;2113;120;3592;1626;122;1382;1347;118;606;132;5;356;3
No;142;no;no;0;1870;133;3179;1346;74;1144;2422;127;109;74;5;20;2
Yes;119;no;no;0;1591;114;2705;2313;117;1966;1432;91;644;88;3;238;5
No;97;no;yes;24;1332;135;2264;2172;58;1846;706;79;318;110;3;297;1
No;52;no;no;0;1919;108;3262;2698;96;2293;2368;87;1066;78;5;211;3
No;60;no;no;0;2206;57;375;2111;115;1794;2490;129;1121;68;3;184;1
No;10;no;no;0;1861;112;3164;1902;66;1617;2828;57;1273;114;6;308;2
No;96;no;no;0;1602;117;2723;2675;67;2274;2285;68;1028;93;5;251;2
Yes;87;no;no;0;1510;83;2567;2197;116;1867;2039;127;918;97;3;262;5
No;81;no;no;0;1755;67;2984;2493;85;2119;2702;98;1216;102;3;275;1
No;141;no;no;0;1269;98;2157;1800;62;153;1408;128;634;80;2;216;1
Yes;121;no;yes;30;1984;129;3373;753;77;64;1812;77;815;58;3;157;3
No;68;no;no;0;1488;70;253;2465;164;2095;1298;103;584;121;3;327;3
No;125;no;no;0;2293;103;3898;1774;126;1508;1893;95;852;120;8;324;1
No;174;no;no;0;1921;97;3266;1699;94;1444;1666;54;75;114;4;308;1
No;116;no;yes;34;2686;83;4566;1782;142;1515;1663;106;748;116;3;313;2
No;74;no;yes;33;1937;91;3293;2461;96;2092;1380;92;621;146;3;394;2
No;149;no;yes;28;1807;92;3072;1878;64;1596;2655;53;1195;126;3;34;3
No;38;no;no;0;1312;98;223;1629;97;1385;1590;106;715;82;6;221;2
No;40;no;yes;41;1481;74;2518;1695;88;1441;2141;102;963;62;5;167;2
No;43;yes;no;0;2515;105;4276;2128;104;1809;1578;67;71;93;4;251;0
No;113;yes;no;0;1252;93;2128;2064;119;1754;1293;139;582;83;8;224;0
No;126;no;no;0;2116;70;3597;2169;80;1844;1535;60;691;78;1;211;1
Yes;150;no;no;0;1789;101;3041;1691;110;1437;1486;100;669;138;3;373;4
No;138;no;no;0;2418;93;4111;1705;83;1449;2953;104;1329;118;7;319;3
No;162;no;yes;46;2249;97;3823;1882;84;160;2546;61;1146;121;2;327;0
No;147;no;no;0;2486;83;4226;1489;85;1266;1725;109;776;80;4;216;3
No;90;no;no;0;2034;146;3458;2267;117;1927;1524;105;686;73;4;197;1
No;85;no;no;0;2358;109;4009;1572;94;1336;1882;99;847;120;3;324;0
No;50;no;no;0;1571;90;2671;2233;72;1898;1814;111;816;61;2;165;1
Yes;82;no;no;0;3003;109;5105;1810;100;1539;2701;73;1215;117;4;316;0
Yes;144;no;no;0;616;117;1047;771;85;655;1730;99;779;82;7;221;4
No;46;no;no;0;2141;72;364;1644;104;1397;1775;113;799;82;3;221;2
No;70;no;no;0;1702;98;2893;1552;102;1319;2286;76;1029;150;2;405;1
No;144;no;no;0;2011;99;3419;3035;74;258;2240;119;1008;132;2;356;1
No;116;yes;no;0;2154;104;3662;2048;79;1741;2785;109;1253;126;5;34;3
No;55;no;yes;25;1656;123;2815;1361;95;1157;1757;90;791;110;2;297;3
No;70;no;yes;24;2495;101;4242;2597;98;2207;2227;68;1002;98;4;265;1
Yes;106;no;no;0;2106;96;358;2492;85;2118;1914;88;861;124;1;335;2
No;128;no;yes;29;1793;104;3048;2259;86;192;3230;78;1454;86;7;232;0
Yes;94;no;no;0;1579;105;2684;1550;101;1318;1896;84;853;80;5;216;4
No;111;no;no;0;2143;118;3643;2085;76;1772;1824;98;821;120;2;324;1
No;74;no;yes;35;1541;104;262;1234;84;1049;2021;57;909;109;9;294;2
Yes;128;no;no;0;2379;125;4044;2476;93;2105;2089;68;94;139;4;375;1
No;82;no;no;0;1439;61;2446;1949;105;1657;1096;94;493;111;2;30;1
Yes;155;no;no;0;2034;100;3458;1909;104;1623;1960;119;882;89;4;24;0
No;80;no;no;0;1243;100;2113;1730;107;1471;2532;62;1139;79;9;213;1
No;78;no;no;0;2529;93;4299;1784;112;1516;2639;105;1188;95;7;257;3
No;90;no;no;0;1791;71;3045;1906;81;162;1277;91;575;106;7;286;3
No;104;no;no;0;2784;106;4733;810;113;689;1632;137;734;98;5;265;1
No;73;no;no;0;1601;110;2722;2133;72;1813;1741;72;783;130;4;351;0
No;99;no;no;0;1982;87;3369;2073;76;1762;1909;113;859;87;3;235;4
Yes;120;no;no;0;2121;131;3606;2094;104;178;1672;96;752;53;5;143;1
Yes;77;no;no;0;2518;72;4281;2057;126;1748;2752;109;1238;98;7;265;2
No;98;no;yes;21;1612;114;274;2522;83;2144;1602;92;721;44;8;119;4
No;108;no;no;0;1783;137;3031;1890;76;1607;1291;102;581;146;5;394;0
No;135;no;no;0;1517;82;2579;1190;105;1012;1800;100;81;105;6;284;0
No;95;no;no;0;1350;99;2295;1836;106;1561;2453;102;1104;125;9;338;1
No;122;no;no;0;1705;94;2899;1737;109;1476;2486;75;1119;113;2;305;1
No;95;no;no;0;2381;65;4048;1872;98;1591;1900;115;855;118;4;319;4
No;36;no;yes;29;2814;102;4784;2022;76;1719;1872;113;842;90;6;243;2
No;93;no;yes;21;1179;131;2004;1645;115;1398;2170;86;976;98;3;265;1
No;141;no;yes;32;1486;91;2526;1311;97;1114;2194;142;987;101;1;273;1
No;157;no;no;0;2298;90;3907;1479;121;1257;2414;108;1086;96;7;259;3
No;120;no;no;0;1650;100;2805;3172;83;2696;1192;86;536;83;8;224;1
No;103;no;no;0;1850;117;3145;2233;94;1898;2228;91;1003;126;2;34;2
No;98;no;no;0;1610;117;2737;1909;113;1623;2277;113;1025;121;4;327;4
No;125;no;no;0;1267;108;2154;2060;90;1751;2478;114;1115;133;7;359;1
No;63;no;no;0;589;125;1001;1696;59;1442;2114;88;951;94;3;254;1
Yes;36;yes;yes;42;1968;89;3346;2549;122;2167;1383;126;622;200;6;54;0
No;64;no;no;0;1626;83;2764;1523;109;1295;575;122;259;142;3;383;1
Yes;74;no;no;0;2825;114;4803;2199;48;1869;1700;115;765;94;4;254;1
No;112;no;yes;36;1137;117;1933;1575;82;1339;1776;118;799;100;3;27;2
No;97;no;no;0;2398;125;4077;2148;111;1826;1433;81;645;87;5;235;2
No;46;no;no;0;2102;92;3573;2273;77;1932;2001;116;90;131;7;354;1
No;41;no;yes;22;2138;102;3635;1418;86;1205;1422;123;64;72;3;194;0
No;121;no;no;0;1907;103;3242;1835;117;156;2208;103;994;98;4;265;3
No;193;no;no;0;1709;124;2905;1323;95;1125;1129;89;508;116;3;313;1
No;130;no;no;0;1542;119;2621;1102;98;937;2274;117;1023;92;5;248;2
No;85;no;no;0;2014;52;3424;2294;104;195;2525;106;1136;120;3;324;1
Yes;162;no;no;0;707;108;1202;1575;87;1339;1548;82;697;91;3;246;4
Yes;61;no;yes;27;1875;124;3188;1466;103;1246;2257;129;1016;64;6;173;4
No;92;no;no;0;917;90;1559;1937;123;1646;1750;86;788;92;4;248;2
No;131;no;yes;36;2142;115;3641;1617;117;1374;2647;102;1191;95;4;257;3
No;90;no;no;0;1455;92;2474;2177;114;185;1469;123;661;109;2;294;3
No;75;no;no;0;1663;125;2827;1582;86;1345;2567;80;1155;61;5;165;1
No;78;no;no;0;2310;115;3927;2304;140;1958;2614;120;1176;95;3;257;1
No;82;no;no;0;2003;96;3405;2012;102;171;2061;60;927;71;1;192;4
No;163;no;no;0;1970;109;3349;2026;128;1722;2064;80;929;91;10;246;1
No;91;yes;no;0;1299;112;2208;1733;83;1473;2472;130;1112;112;3;302;3
No;75;no;yes;21;1758;97;2989;2175;106;1849;2375;134;1069;53;4;143;5
No;91;no;no;0;2031;106;3453;2101;113;1786;1956;129;88;120;3;324;3
No;127;no;yes;36;1832;117;3114;1268;76;1078;2633;71;1185;112;8;302;1
No;113;no;yes;23;2050;101;3485;1520;60;1292;1586;59;714;102;5;275;2
No;110;no;no;0;1485;115;2525;2764;84;2349;1936;112;871;124;3;335;1
No;120;no;yes;39;2003;68;3405;2204;97;1873;2538;116;1142;105;4;284;0
No;157;no;yes;28;1926;107;3274;1955;74;1662;1097;139;494;68;5;184;3
No;103;no;no;0;2465;47;4191;1955;84;1662;2005;96;902;117;4;316;1
Yes;117;yes;no;0;1671;86;2841;1775;87;1509;2494;132;1122;141;7;381;2
No;140;no;no;0;2319;101;3942;1601;94;1361;1104;98;497;143;6;386;3
No;127;no;no;0;1467;91;2494;2035;78;173;2034;110;915;137;3;37;1
No;83;yes;no;0;2715;87;4616;2163;126;1839;1211;105;545;117;4;316;1
No;121;no;no;0;1815;121;3086;2184;98;1856;1616;103;727;85;5;23;1
No;145;no;yes;43;2577;97;4381;1621;95;1378;2869;86;1291;111;4;30;2
No;113;no;no;0;1938;99;3295;2214;125;1882;1723;67;775;106;6;286;1
No;117;no;no;0;1028;119;1748;2067;91;1757;2990;105;1346;101;7;273;1
No;65;no;no;0;1879;116;3194;1576;117;134;2273;86;1023;75;6;203;1
No;56;no;no;0;2260;112;3842;2485;118;2112;1405;142;632;69;11;186;1
No;96;no;no;0;2604;115;4427;1460;46;1241;2695;87;1213;115;4;311;5
No;151;no;no;0;1787;116;3038;2921;138;2483;2659;101;1197;98;4;265;0
Yes;83;no;no;0;3374;120;5736;2274;116;1933;1539;114;693;158;7;427;0
No;139;no;yes;23;1576;129;2679;2470;96;210;2592;112;1166;137;2;37;0
No;6;no;no;0;1836;117;3121;2567;72;2182;1786;79;804;102;2;275;1
No;115;no;yes;24;1421;124;2416;1834;129;1559;1648;114;742;96;4;259;1
No;87;no;no;0;1363;97;2317;1722;108;1464;1375;101;619;71;5;192;0
No;141;no;no;0;2171;110;3691;2415;111;2053;2535;103;1141;120;6;324;0
No;141;no;yes;36;1875;99;3188;2414;116;2052;2295;105;1033;105;5;284;3
No;62;no;no;0;989;103;1681;1354;122;1151;2366;82;1065;122;1;329;1
No;146;no;no;0;2063;151;3507;1486;89;1263;1672;91;752;61;3;165;1
No;92;no;yes;33;2431;92;4133;2138;92;1817;2287;104;1029;121;2;327;2
No;185;no;yes;31;1898;126;3227;1633;133;1388;2648;126;1192;75;3;203;1
No;148;no;no;0;2020;102;3434;2432;128;2067;2613;90;1176;109;3;294;1
No;94;no;yes;38;1701;124;2892;1933;116;1643;1059;73;477;128;4;346;1
No;32;no;no;0;2309;87;3925;1874;90;1593;1540;53;693;63;2;17;0
No;68;no;no;0;2371;105;4031;2235;105;190;974;79;438;132;2;356;1
No;64;no;yes;27;1821;91;3096;1697;98;1442;1647;86;741;106;5;286;2
